date,open,high,low,close,volume,average,barCount,ticker
2024-08-16,126.74,127.34,126.02,127.05,1329396.0,126.854,7683,MMM
2024-08-19,127.08,127.85,126.53,127.08,1130579.0,127.233,7599,MMM
2024-08-20,126.99,128.07,126.88,127.7,1784537.0,127.524,9603,MMM
2024-08-21,127.84,129.99,127.66,129.23,2078503.0,129.189,12764,MMM
2024-08-22,129.1,129.75,128.3,128.6,1321019.0,128.949,7574,MMM
2024-08-23,129.23,130.65,128.85,130.55,1500579.0,129.663,9423,MMM
2024-08-26,129.6,131.92,129.6,131.85,2068313.0,131.125,13395,MMM
2024-08-27,131.32,132.62,130.95,131.4,1729748.0,131.652,9874,MMM
2024-08-28,131.4,132.62,131.15,131.61,1760456.0,131.815,11783,MMM
2024-08-29,131.65,133.18,131.34,132.91,1664659.0,132.418,10138,MMM
2024-08-30,133.07,134.99,132.61,134.69,1535692.0,133.888,9777,MMM
2024-09-03,133.01,133.78,130.21,130.85,2095373.0,131.188,12992,MMM
2024-09-04,131.19,132.86,131.11,132.45,757308.0,132.268,4496,MMM
2024-01-02,186.49,188.74,186.07,188.31,1099762.0,187.645,7197,AXP
2024-01-03,186.68,187.49,185.59,186.32,1201304.0,186.709,7901,AXP
2024-01-04,186.01,188.57,185.76,187.14,1104502.0,187.521,7215,AXP
2024-01-05,186.82,189.51,186.52,189.06,1075091.0,188.762,6624,AXP
2024-01-08,188.22,189.33,186.38,189.21,1753111.0,187.717,10224,AXP
2024-01-09,187.83,187.99,186.34,186.77,794664.0,187.049,5747,AXP
2024-01-10,185.03,186.1,183.67,184.97,1327200.0,184.652,8832,AXP
2024-01-11,185.01,185.36,182.04,185.03,1523656.0,183.775,10815,AXP
2024-01-12,185.83,186.41,181.95,182.04,1425280.0,183.049,10128,AXP
2024-01-16,181.01,181.15,178.82,180.97,1765295.0,180.103,12840,AXP
2024-01-17,179.45,181.6,179.0,181.0,1207564.0,180.663,7967,AXP
2024-01-18,180.1,180.19,177.81,179.79,1621277.0,179.153,11642,AXP
2024-01-19,181.0,183.38,179.41,183.17,1718061.0,181.929,10990,AXP
2024-01-22,184.26,186.77,184.06,185.01,1440241.0,185.144,8099,AXP
2024-01-23,185.68,186.02,184.81,185.47,1204061.0,185.437,8194,AXP
2024-01-24,187.09,188.42,185.72,185.82,1385835.0,187.152,9644,AXP
2024-01-25,186.44,188.33,186.43,188.07,1630117.0,187.731,11464,AXP
2024-01-26,192.54,204.77,192.26,201.43,8828580.0,200.879,46371,AXP
2024-01-29,201.66,202.9,199.07,200.86,2446949.0,200.581,15949,AXP
2024-01-30,200.5,204.44,200.41,204.15,2100775.0,203.036,14584,AXP
2024-01-31,202.4,205.32,200.66,200.74,1485924.0,203.135,9320,AXP
2024-02-01,200.36,203.47,199.88,203.22,1455114.0,202.127,9935,AXP
2024-02-02,203.39,206.97,203.0,206.41,1554124.0,205.555,10524,AXP
2024-02-05,205.49,206.72,203.42,205.94,1568491.0,205.262,11065,AXP
2024-02-06,205.44,207.08,204.0,205.65,1782287.0,205.012,10423,AXP
2024-02-07,207.08,209.15,205.6,209.08,1613764.0,208.003,10981,AXP
2024-02-08,208.25,211.34,207.95,211.21,2500869.0,209.723,16615,AXP
2024-02-09,211.55,214.25,210.41,212.47,2925596.0,212.231,19466,AXP
2024-02-12,212.25,214.01,211.61,212.26,2190068.0,212.789,15432,AXP
2024-02-13,210.22,210.97,207.61,209.67,1696984.0,209.024,12568,AXP
2024-02-14,211.15,211.3,208.82,210.9,1360158.0,210.088,10301,AXP
2024-02-15,211.47,213.12,210.65,212.53,1350783.0,212.079,9927,AXP
2024-02-16,212.53,214.29,211.87,212.56,1680263.0,213.379,10333,AXP
2024-02-20,211.0,213.75,210.28,212.49,1903190.0,212.299,13694,AXP
2024-02-21,211.6,212.69,209.1,210.89,1461946.0,210.645,10055,AXP
2024-02-22,212.48,215.55,212.47,213.99,1570167.0,214.583,11062,AXP
2024-02-23,215.0,216.32,214.25,214.56,1028212.0,215.316,7295,AXP
2024-02-26,213.42,217.54,213.25,216.96,1368106.0,216.518,9910,AXP
2024-02-27,217.43,218.08,216.29,217.98,1154811.0,217.257,8708,AXP
2024-02-28,217.18,219.2,216.76,218.03,1018085.0,218.253,7224,AXP
2024-02-29,218.99,219.74,217.65,219.42,1277064.0,218.886,8658,AXP
2024-03-01,219.31,220.38,218.43,219.66,1193620.0,219.654,8439,AXP
2024-03-04,219.07,219.58,217.24,218.91,1358961.0,218.402,10050,AXP
2024-03-05,217.44,218.9,216.12,217.2,1436746.0,217.281,10360,AXP
2024-03-06,217.62,219.29,217.27,218.45,1466456.0,218.153,10366,AXP
2024-03-07,221.01,224.69,220.81,223.42,1518701.0,222.952,10349,AXP
2024-03-08,223.04,224.9,222.83,223.37,1008455.0,223.787,7065,AXP
2024-03-11,221.92,222.36,218.29,220.19,1424573.0,220.16,9685,AXP
2024-03-12,221.24,223.45,219.64,222.65,892676.0,222.015,6368,AXP
2024-03-13,223.14,223.49,221.87,222.81,826172.0,222.801,5758,AXP
2024-03-14,224.28,224.29,219.1,220.47,895937.0,221.098,6345,AXP
2024-03-15,220.98,221.6,217.21,218.46,1846488.0,219.205,9429,AXP
2024-03-18,219.9,221.73,218.99,220.97,670041.0,220.724,4638,AXP
2024-03-19,221.05,221.95,219.37,221.69,649618.0,221.113,4459,AXP
2024-03-20,221.49,228.06,221.22,227.91,930642.0,225.578,6906,AXP
